city,date,confirmed,deaths
Anadia,2021-05-17,1120,25
Arapiraca,2021-05-17,23088,365
Atalaia,2021-05-17,1076,43
Barra de Santo Antônio,2021-05-17,334,19
Barra de São Miguel,2021-05-17,441,7
Batalha,2021-05-17,948,15
Belém,2021-05-17,105,3
Belo Monte,2021-05-17,269,7
Boca da Mata,2021-05-17,1649,41
Branquinha,2021-05-17,469,9
Cacimbinhas,2021-05-17,612,7
Cajueiro,2021-05-17,515,20
Campestre,2021-05-17,241,6
Campo Alegre,2021-05-17,2528,63
Campo Grande,2021-05-17,427,8
Canapi,2021-05-17,250,7
Capela,2021-05-17,766,11
Carneiros,2021-05-17,199,6
Chã Preta,2021-05-17,252,7
Coité do Nóia,2021-05-17,360,14
Colônia Leopoldina,2021-05-17,319,15
Coqueiro Seco,2021-05-17,421,6
Coruripe,2021-05-17,3451,42
Craíbas,2021-05-17,1051,18
Delmiro Gouveia,2021-05-17,2868,81
Dois Riachos,2021-05-17,526,5
Estrela de Alagoas,2021-05-17,324,10
Feira Grande,2021-05-17,667,11
Feliz Deserto,2021-05-17,125,4
Flexeiras,2021-05-17,607,17
Girau do Ponciano,2021-05-17,1684,34
Ibateguara,2021-05-17,539,13
Igaci,2021-05-17,691,9
Igreja Nova,2021-05-17,930,12
Importados/Indefinidos,2021-05-17,0,0
Inhapi,2021-05-17,346,7
Jacaré dos Homens,2021-05-17,221,2
Jacuípe,2021-05-17,145,4
Japaratinga,2021-05-17,378,12
Jaramataia,2021-05-17,94,1
Jequiá da Praia,2021-05-17,532,9
Joaquim Gomes,2021-05-17,706,20
Jundiá,2021-05-17,144,3
Junqueiro,2021-05-17,937,35
Lagoa da Canoa,2021-05-17,858,17
Limoeiro de Anadia,2021-05-17,954,22
Maceió,2021-05-17,72685,2064
Major Isidoro,2021-05-17,621,19
Maragogi,2021-05-17,1336,35
Maravilha,2021-05-17,243,9
Marechal Deodoro,2021-05-17,5448,87
Maribondo,2021-05-17,429,18
Mar Vermelho,2021-05-17,122,2
Mata Grande,2021-05-17,382,12
Matriz de Camaragibe,2021-05-17,1342,34
Messias,2021-05-17,955,26
Minador do Negrão,2021-05-17,132,5
Monteirópolis,2021-05-17,189,2
Murici,2021-05-17,955,45
Novo Lino,2021-05-17,167,11
Olho d'Água das Flores,2021-05-17,1372,29
Olho d'Água do Casado,2021-05-17,98,5
Olho d'Água Grande,2021-05-17,177,9
Olivença,2021-05-17,426,9
Ouro Branco,2021-05-17,286,6
Palestina,2021-05-17,400,3
Palmeira dos Índios,2021-05-17,3803,92
Pão de Açúcar,2021-05-17,1069,22
Pariconha,2021-05-17,497,1
Paripueira,2021-05-17,292,18
Passo de Camaragibe,2021-05-17,554,13
Paulo Jacinto,2021-05-17,265,10
Penedo,2021-05-17,3219,36
Piaçabuçu,2021-05-17,685,19
Pilar,2021-05-17,2823,35
Pindoba,2021-05-17,87,1
Piranhas,2021-05-17,831,15
Poço das Trincheiras,2021-05-17,390,6
Porto Calvo,2021-05-17,1077,31
Porto de Pedras,2021-05-17,330,9
Porto Real do Colégio,2021-05-17,558,13
Quebrangulo,2021-05-17,740,11
Rio Largo,2021-05-17,3003,124
Roteiro,2021-05-17,311,11
Santa Luzia do Norte,2021-05-17,427,8
Santana do Ipanema,2021-05-17,4045,67
Santana do Mundaú,2021-05-17,675,13
São Brás,2021-05-17,313,3
São José da Laje,2021-05-17,1018,23
São José da Tapera,2021-05-17,1184,31
São Luís do Quitunde,2021-05-17,1098,24
São Miguel dos Campos,2021-05-17,3235,73
São Miguel dos Milagres,2021-05-17,221,10
São Sebastião,2021-05-17,1458,25
Satuba,2021-05-17,955,30
Senador Rui Palmeira,2021-05-17,288,10
Tanque d'Arca,2021-05-17,306,4
Taquarana,2021-05-17,551,11
Teotônio Vilela,2021-05-17,1755,56
Traipu,2021-05-17,427,14
União dos Palmares,2021-05-17,1869,73
Viçosa,2021-05-17,1472,30
,2021-05-17,185070,4508
,2021-05-17,379167,12855
,2021-05-17,109272,1622
Abaíra,2021-05-17,252,10
Abaré,2021-05-17,780,8
Acajutiba,2021-05-17,480,14
Adustina,2021-05-17,665,11
Água Fria,2021-05-17,150,10
Aiquara,2021-05-17,444,11
Alagoinhas,2021-05-17,11163,220
Alcobaça,2021-05-17,1283,22
Almadina,2021-05-17,587,9
Amargosa,2021-05-17,2343,47
Amélia Rodrigues,2021-05-17,1849,37
América Dourada,2021-05-17,754,7
Anagé,2021-05-17,794,16
Andaraí,2021-05-17,659,6
Andorinha,2021-05-17,725,12
Angical,2021-05-17,503,10
Anguera,2021-05-17,351,1
Antas,2021-05-17,1070,7
Antônio Cardoso,2021-05-17,343,7
Antônio Gonçalves,2021-05-17,678,8
Aporá,2021-05-17,462,18
Apuarema,2021-05-17,643,9
Araçás,2021-05-17,555,7
Aracatu,2021-05-17,731,14
Araci,2021-05-17,3228,42
Aramari,2021-05-17,523,11
Arataca,2021-05-17,528,14
Aratuípe,2021-05-17,324,9
Aurelino Leal,2021-05-17,843,25
Baianópolis,2021-05-17,579,7
Baixa Grande,2021-05-17,625,7
Banzaê,2021-05-17,848,7
Barra,2021-05-17,1793,31
Barra da Estiva,2021-05-17,1654,16
Barra do Choça,2021-05-17,1827,27
