city,date,confirmed,deaths 
Juscimeira,2021-05-17,1079,31
Lambari D'Oeste,2021-05-17,546,14
Lucas do Rio Verde,2021-05-17,11835,142
Luciara,2021-05-17,114,3
Marcelândia,2021-05-17,1213,31
Matupá,2021-05-17,1876,43
Mirassol d'Oeste,2021-05-17,2995,98
Nobres,2021-05-17,1379,46
Nortelândia,2021-05-17,637,22
Nossa Senhora do Livramento,2021-05-17,965,36
Nova Bandeirantes,2021-05-17,529,15
Nova Brasilândia,2021-05-17,293,8
Nova Canaã do Norte,2021-05-17,1016,23
Nova Guarita,2021-05-17,611,13
Nova Lacerda,2021-05-17,816,7
Nova Marilândia,2021-05-17,272,5
Nova Maringá,2021-05-17,554,9
Nova Monte Verde,2021-05-17,1259,17
Nova Mutum,2021-05-17,6644,101
Nova Nazaré,2021-05-17,241,6
Nova Olímpia,2021-05-17,1182,50
Nova Santa Helena,2021-05-17,481,11
Nova Ubiratã,2021-05-17,517,15
Nova Xavantina,2021-05-17,2429,44
Novo Horizonte do Norte,2021-05-17,327,9
Novo Mundo,2021-05-17,629,16
Novo Santo Antônio,2021-05-17,268,3
Novo São Joaquim,2021-05-17,342,12
Paranaíta,2021-05-17,2325,30
Paranatinga,2021-05-17,2688,63
Pedra Preta,2021-05-17,1590,56
Peixoto de Azevedo,2021-05-17,3430,116
Planalto da Serra,2021-05-17,176,7
Poconé,2021-05-17,2455,64
Pontal do Araguaia,2021-05-17,692,15
Ponte Branca,2021-05-17,106,5
Pontes e Lacerda,2021-05-17,4869,206
Porto Alegre do Norte,2021-05-17,560,9
Porto dos Gaúchos,2021-05-17,560,6
Porto Esperidião,2021-05-17,1037,41
Porto Estrela,2021-05-17,297,10
Poxoréu,2021-05-17,1252,40
Primavera do Leste,2021-05-17,10308,244
Querência,2021-05-17,2440,45
Reserva do Cabaçal,2021-05-17,211,5
Ribeirão Cascalheira,2021-05-17,1019,33
Ribeirãozinho,2021-05-17,150,10
Rio Branco,2021-05-17,508,10
Rondolândia,2021-05-17,250,4
Rondonópolis,2021-05-17,28105,762
Rosário Oeste,2021-05-17,1063,37
Salto do Céu,2021-05-17,230,6
Santa Carmem,2021-05-17,636,12
Santa Cruz do Xingu,2021-05-17,304,0
Santa Rita do Trivelato,2021-05-17,141,3
Santa Terezinha,2021-05-17,230,7
Santo Afonso,2021-05-17,211,11
Santo Antônio do Leste,2021-05-17,189,6
Santo Antônio do Leverger,2021-05-17,914,45
São Félix do Araguaia,2021-05-17,1436,28
São José do Povo,2021-05-17,164,7
São José do Rio Claro,2021-05-17,1598,22
São José dos Quatro Marcos,2021-05-17,2100,62
São José do Xingu,2021-05-17,221,9
São Pedro da Cipa,2021-05-17,476,20
Sapezal,2021-05-17,3375,41
Serra Nova Dourada,2021-05-17,179,4
Sinop,2021-05-17,20087,367
Sorriso,2021-05-17,13123,174
Tabaporã,2021-05-17,1349,20
Tangará da Serra,2021-05-17,12705,256
Tapurah,2021-05-17,1978,21
Terra Nova do Norte,2021-05-17,916,33
Tesouro,2021-05-17,211,9
Torixoréu,2021-05-17,336,12
União do Sul,2021-05-17,461,11
Vale de São Domingos,2021-05-17,268,10
Várzea Grande,2021-05-17,26731,1130
Vera,2021-05-17,1041,23
Vila Bela da Santíssima Trindade,2021-05-17,2466,51
Vila Rica,2021-05-17,1268,23
,2021-05-17,384443,10464
,2021-05-17,501407,14016
Água Branca,2021-05-17,741,10
Aguiar,2021-05-17,291,3
Alagoa Grande,2021-05-17,2877,52
Alagoa Nova,2021-05-17,778,16
Alagoinha,2021-05-17,1572,23
Alcantil,2021-05-17,343,6
Algodão de Jandaíra,2021-05-17,123,1
Alhandra,2021-05-17,1711,29
Amparo,2021-05-17,158,4
Aparecida,2021-05-17,696,11
Araçagi,2021-05-17,1021,13
Arara,2021-05-17,744,21
Araruna,2021-05-17,597,16
Areia,2021-05-17,1092,22
Areia de Baraúnas,2021-05-17,98,3
Areial,2021-05-17,263,7
Aroeiras,2021-05-17,885,7
Assunção,2021-05-17,283,2
Baía da Traição,2021-05-17,1213,11
Bananeiras,2021-05-17,973,18
Baraúna,2021-05-17,290,4
Barra de Santana,2021-05-17,349,5
Barra de Santa Rosa,2021-05-17,876,5
Barra de São Miguel,2021-05-17,399,6
Bayeux,2021-05-17,6112,218
Belém,2021-05-17,1865,31
Belém do Brejo do Cruz,2021-05-17,487,5
Bernardino Batista,2021-05-17,232,0
Boa Ventura,2021-05-17,291,5
Boa Vista,2021-05-17,549,9
Bom Jesus,2021-05-17,121,3
Bom Sucesso,2021-05-17,203,2
Bonito de Santa Fé,2021-05-17,414,11
Boqueirão,2021-05-17,1320,23
Borborema,2021-05-17,346,11
Brejo do Cruz,2021-05-17,1239,20
Brejo dos Santos,2021-05-17,375,4
Caaporã,2021-05-17,1679,29
Cabaceiras,2021-05-17,313,2
Cabedelo,2021-05-17,7739,173
Cachoeira dos Índios,2021-05-17,626,14
Cacimba de Areia,2021-05-17,31,3
Cacimba de Dentro,2021-05-17,906,24
Cacimbas,2021-05-17,196,6
Caiçara,2021-05-17,639,14
Cajazeiras,2021-05-17,6990,119
Cajazeirinhas,2021-05-17,116,0
Caldas Brandão,2021-05-17,467,7
Camalaú,2021-05-17,379,5
Campina Grande,2021-05-17,27827,844
Capim,2021-05-17,201,9
Caraúbas,2021-05-17,194,6
Carrapateira,2021-05-17,417,5
Casserengue,2021-05-17,775,16
Catingueira,2021-05-17,172,6
Catolé do Rocha,2021-05-17,3216,47
Caturité,2021-05-17,209,4
Conceição,2021-05-17,846,17
Condado,2021-05-17,408,9
Conde,2021-05-17,2103,38
Congo,2021-05-17,309,9
Coremas,2021-05-17,1333,24
Coxixola,2021-05-17,101,3
Cruz do Espírito Santo,2021-05-17,886,26
Cubati,2021-05-17,326,9
Cuité,2021-05-17,1521,20
Cuité de Mamanguape,2021-05-17,271,12
Cuitegi,2021-05-17,712,22
Curral de Cima,2021-05-17,270,2
Curral Velho,2021-05-17,232,0
Damião,2021-05-17,428,3
Desterro,2021-05-17,360,5
Diamante,2021-05-17,444,8
Dona Inês,2021-05-17,345,9
Duas Estradas,2021-05-17,342,14
Emas,2021-05-17,121,4
Esperança,2021-05-17,3218,62
Fagundes,2021-05-17,234,9
Frei Martinho,2021-05-17,233,3
Gado Bravo,2021-05-17,393,6
Guarabira,2021-05-17,7476,115
Gurinhém,2021-05-17,734,15
Gurjão,2021-05-17,146,5
Ibiara,2021-05-17,507,3
Igaracy,2021-05-17,133,5
Imaculada,2021-05-17,286,9
Importados/Indefinidos,2021-05-17,0,0
Ingá,2021-05-17,2484,34
Itabaiana,2021-05-17,2574,69
Itaporanga,2021-05-17,1950,24
Itapororoca,2021-05-17,1569,16
Itatuba,2021-05-17,749,15
Jacaraú,2021-05-17,793,26
Jericó,2021-05-17,509,9
João Pessoa,2021-05-17,82525,2509
Joca Claudino,2021-05-17,77,2
Juarez Távora,2021-05-17,759,11
Juazeirinho,2021-05-17,566,13
Junco do Seridó,2021-05-17,260,7
Juripiranga,2021-05-17,1179,24
Juru,2021-05-17,614,12
Lagoa,2021-05-17,117,1
Lagoa de Dentro,2021-05-17,637,4
Lagoa Seca,2021-05-17,1848,36
Lastro,2021-05-17,310,3
Livramento,2021-05-17,511,3
Logradouro,2021-05-17,319,9
Lucena,2021-05-17,874,16
Mãe d'Água,2021-05-17,231,5
Malta,2021-05-17,301,8
Mamanguape,2021-05-17,4122,63
Manaíra,2021-05-17,269,6
Marcação,2021-05-17,822,10
Mari,2021-05-17,1713,28
Marizópolis,2021-05-17,246,9
Massaranduba,2021-05-17,913,23
Mataraca,2021-05-17,388,12
Matinhas,2021-05-17,120,4
Mato Grosso,2021-05-17,49,1
Maturéia,2021-05-17,254,7
Mogeiro,2021-05-17,814,14
Montadas,2021-05-17,188,2
Monte Horebe,2021-05-17,221,0
Monteiro,2021-05-17,2995,39
Mulungu,2021-05-17,688,17
Natuba,2021-05-17,244,4
Nazarezinho,2021-05-17,389,6
Nova Floresta,2021-05-17,877,16
Nova Olinda,2021-05-17,296,7
Nova Palmeira,2021-05-17,439,3
Olho d'Água,2021-05-17,313,6
Olivedos,2021-05-17,274,3
Ouro Velho,2021-05-17,95,2
Parari,2021-05-17,145,1
Passagem,2021-05-17,115,1
Patos,2021-05-17,10830,190
Paulista,2021-05-17,898,8
Pedra Branca,2021-05-17,323,2
Pedra Lavrada,2021-05-17,175,1
Pedras de Fogo,2021-05-17,2086,48
Pedro Régis,2021-05-17,207,6
Piancó,2021-05-17,1314,21
Picuí,2021-05-17,1350,23
Pilar,2021-05-17,899,21
Pilões,2021-05-17,168,3
Pilõezinhos,2021-05-17,565,9
Pirpirituba,2021-05-17,643,13
Pitimbu,2021-05-17,1390,15
Pocinhos,2021-05-17,772,16
Poço Dantas,2021-05-17,101,4
Poço de José de Moura,2021-05-17,159,2
Pombal,2021-05-17,3929,56
Prata,2021-05-17,100,4
Princesa Isabel,2021-05-17,1658,46
Puxinanã,2021-05-17,506,5
Queimadas,2021-05-17,2839,52
Quixaba,2021-05-17,73,2
Remígio,2021-05-17,981,22
Riachão,2021-05-17,113,4
Riachão do Bacamarte,2021-05-17,356,0
Riachão do Poço,2021-05-17,181,3
Riacho de Santo Antônio,2021-05-17,69,2
Riacho dos Cavalos,2021-05-17,503,12
Rio Tinto,2021-05-17,2159,47
Salgadinho,2021-05-17,130,1
Salgado de São Félix,2021-05-17,617,12
Santa Cecília,2021-05-17,211,2
Santa Cruz,2021-05-17,269,6
Santa Helena,2021-05-17,315,5
Santa Inês,2021-05-17,125,5
Santa Luzia,2021-05-17,1508,22
Santana de Mangueira,2021-05-17,265,1
Santana dos Garrotes,2021-05-17,362,8
Santa Rita,2021-05-17,7417,280
Santa Teresinha,2021-05-17,170,11
Santo André,2021-05-17,268,2
São Bentinho,2021-05-17,273,3
São Bento,2021-05-17,5027,57
São Domingos,2021-05-17,110,0
São Domingos do Cariri,2021-05-17,92,3
São Francisco,2021-05-17,111,2
São João do Cariri,2021-05-17,284,1
São João do Rio do Peixe,2021-05-17,891,21
São João do Tigre,2021-05-17,158,4
São José da Lagoa Tapada,2021-05-17,486,3
São José de Caiana,2021-05-17,288,4
São José de Espinharas,2021-05-17,314,5
São José de Piranhas,2021-05-17,1873,41
São José de Princesa,2021-05-17,155,1
São José do Bonfim,2021-05-17,110,5
São José do Brejo do Cruz,2021-05-17,165,1
São José do Sabugi,2021-05-17,580,3
São José dos Cordeiros,2021-05-17,90,5
São José dos Ramos,2021-05-17,392,5
São Mamede,2021-05-17,566,29
São Miguel de Taipu,2021-05-17,348,8
São Sebastião de Lagoa de Roça,2021-05-17,652,14
São Sebastião do Umbuzeiro,2021-05-17,162,3
São Vicente do Seridó,2021-05-17,277,3
Sapé,2021-05-17,2249,95
Serra Branca,2021-05-17,669,26
Serra da Raiz,2021-05-17,409,4
Serra Grande,2021-05-17,179,4
Serra Redonda,2021-05-17,426,6
Serraria,2021-05-17,536,11
Sertãozinho,2021-05-17,544,6
Sobrado,2021-05-17,429,9
Solânea,2021-05-17,3036,43
Soledade,2021-05-17,823,12
Sossêgo,2021-05-17,181,1
Sousa,2021-05-17,6144,95
Sumé,2021-05-17,2102,31
Tacima,2021-05-17,253,7
Taperoá,2021-05-17,520,14
Tavares,2021-05-17,778,12
Teixeira,2021-05-17,599,32
Tenório,2021-05-17,82,2
Triunfo,2021-05-17,412,8
Uiraúna,2021-05-17,484,23
Umbuzeiro,2021-05-17,297,9
Várzea,2021-05-17,90,1
Vieirópolis,2021-05-17,97,2
Vista Serrana,2021-05-17,115,5
Zabelê,2021-05-17,126,1
,2021-05-17,310470,7248
Abreu e Lima,2021-05-17,2559,193
Afogados da Ingazeira,2021-05-17,3873,58
Afrânio,2021-05-17,767,13
Agrestina,2021-05-17,1326,49
Água Preta,2021-05-17,1345,56
Águas Belas,2021-05-17,1373,28
Alagoinha,2021-05-17,666,18
Aliança,2021-05-17,563,47
Altinho,2021-05-17,927,19
Amaraji,2021-05-17,445,28
Angelim,2021-05-17,166,6
Araçoiaba,2021-05-17,500,27
Araripina,2021-05-17,5715,120
Arcoverde,2021-05-17,5024,105
Barra de Guabiraba,2021-05-17,345,14
Barreiros,2021-05-17,729,51
Belém de Maria,2021-05-17,199,6
Belém do São Francisco,2021-05-17,579,9
Belo Jardim,2021-05-17,2850,87
Betânia,2021-05-17,403,10
Bezerros,2021-05-17,3327,98
Bodocó,2021-05-17,1650,25
Bom Conselho,2021-05-17,1393,46
Bom Jardim,2021-05-17,1132,53
Bonito,2021-05-17,661,34
Brejão,2021-05-17,193,5
Brejinho,2021-05-17,600,17
Brejo da Madre de Deus,2021-05-17,1805,47
Buenos Aires,2021-05-17,227,19
Buíque,2021-05-17,1848,38
Cabo de Santo Agostinho,2021-05-17,5175,417
Cabrobó,2021-05-17,1761,22
Cachoeirinha,2021-05-17,429,23
Caetés,2021-05-17,1185,17
Calçado,2021-05-17,387,2
Calumbi,2021-05-17,452,3
Camaragibe,2021-05-17,4702,337
Camocim de São Félix,2021-05-17,437,13
Camutanga,2021-05-17,716,23
Canhotinho,2021-05-17,527,26
Capoeiras,2021-05-17,1085,19
Carnaíba,2021-05-17,1626,30
Carnaubeira da Penha,2021-05-17,142,3
Carpina,2021-05-17,3129,115
Caruaru,2021-05-17,24588,558
Casinhas,2021-05-17,236,9
Catende,2021-05-17,950,46
Cedro,2021-05-17,1407,14
Chã de Alegria,2021-05-17,398,19
Chã Grande,2021-05-17,372,20
Condado,2021-05-17,1258,33
Correntes,2021-05-17,219,5
Cortês,2021-05-17,225,15
Cumaru,2021-05-17,285,14
Cupira,2021-05-17,1468,38
Custódia,2021-05-17,628,45
Dormentes,2021-05-17,1064,7
Escada,2021-05-17,765,83
Exu,2021-05-17,3059,37
Feira Nova,2021-05-17,1099,36
Fernando de Noronha,2021-05-17,274,2
Ferreiros,2021-05-17,686,12
Flores,2021-05-17,838,29
Floresta,2021-05-17,1505,17
Frei Miguelinho,2021-05-17,729,18
Gameleira,2021-05-17,393,30
Garanhuns,2021-05-17,10131,179
Glória do Goitá,2021-05-17,929,38
Goiana,2021-05-17,5329,132
Granito,2021-05-17,261,3
Gravatá,2021-05-17,3102,117
Iati,2021-05-17,570,11
Ibimirim,2021-05-17,676,23
Ibirajuba,2021-05-17,188,7
Igarassu,2021-05-17,2663,193
Iguaracy,2021-05-17,620,24
Ilha de Itamaracá,2021-05-17,778,22
Importados/Indefinidos,2021-05-17,0,0
Inajá,2021-05-17,347,5
Ingazeira,2021-05-17,262,4
Ipojuca,2021-05-17,2682,140
Ipubi,2021-05-17,879,49
Itacuruba,2021-05-17,175,4
Itaíba,2021-05-17,624,10
Itambé,2021-05-17,1259,46
Itapetim,2021-05-17,970,23
Itapissuma,2021-05-17,738,39
Itaquitinga,2021-05-17,486,28
Jaboatão dos Guararapes,2021-05-17,27030,1384
Jaqueira,2021-05-17,298,12
Jataúba,2021-05-17,770,13
Jatobá,2021-05-17,523,7
João Alfredo,2021-05-17,494,33
Joaquim Nabuco,2021-05-17,354,22
Jucati,2021-05-17,510,7
Jupi,2021-05-17,838,17
Jurema,2021-05-17,406,18
Lagoa de Itaenga,2021-05-17,753,22
Lagoa do Carro,2021-05-17,700,21
Lagoa do Ouro,2021-05-17,333,8
Lagoa dos Gatos,2021-05-17,486,9
Lagoa Grande,2021-05-17,1226,22
Lajedo,2021-05-17,1534,52
Limoeiro,2021-05-17,2011,85
Macaparana,2021-05-17,1009,25
Machados,2021-05-17,565,11
Manari,2021-05-17,214,5
Maraial,2021-05-17,318,10
Mirandiba,2021-05-17,743,17
Moreilândia,2021-05-17,392,4
Moreno,2021-05-17,1373,89
Nazaré da Mata,2021-05-17,908,63
Olinda,2021-05-17,18697,812
Orobó,2021-05-17,687,18
Orocó,2021-05-17,484,10
Ouricuri,2021-05-17,2150,72
Palmares,2021-05-17,3367,99
Palmeirina,2021-05-17,142,5
Panelas,2021-05-17,659,24
Paranatama,2021-05-17,439,14
Parnamirim,2021-05-17,1076,30
Passira,2021-05-17,1143,45
Paudalho,2021-05-17,2284,91
Paulista,2021-05-17,8936,665
Pedra,2021-05-17,775,16
Pesqueira,2021-05-17,3554,89
Petrolândia,2021-05-17,1219,27
Petrolina,2021-05-17,24151,371
Poção,2021-05-17,467,13
Pombos,2021-05-17,1443,36
Primavera,2021-05-17,240,18
Quipapá,2021-05-17,554,10
Quixaba,2021-05-17,374,11
Recife,2021-05-17,112852,4051
Riacho das Almas,2021-05-17,869,18
Ribeirão,2021-05-17,403,64
Rio Formoso,2021-05-17,694,33
Sairé,2021-05-17,324,5
Salgadinho,2021-05-17,181,3
Salgueiro,2021-05-17,6272,99
Saloá,2021-05-17,539,18
Sanharó,2021-05-17,972,23
Santa Cruz,2021-05-17,656,9
Santa Cruz da Baixa Verde,2021-05-17,482,12
Santa Cruz do Capibaribe,2021-05-17,6375,119
Santa Filomena,2021-05-17,413,9
Santa Maria da Boa Vista,2021-05-17,819,10
Santa Maria do Cambucá,2021-05-17,530,14
Santa Terezinha,2021-05-17,797,24
São Benedito do Sul,2021-05-17,294,11
São Bento do Una,2021-05-17,2026,58
São Caitano,2021-05-17,1307,43
São João,2021-05-17,688,17
São Joaquim do Monte,2021-05-17,581,23
São José da Coroa Grande,2021-05-17,1362,36
São José do Belmonte,2021-05-17,1937,40
São José do Egito,2021-05-17,1994,42
São Lourenço da Mata,2021-05-17,3453,200
São Vicente Férrer,2021-05-17,1255,22
Serra Talhada,2021-05-17,8608,138
Serrita,2021-05-17,949,19
Sertânia,2021-05-17,2205,33
Sirinhaém,2021-05-17,716,36
Solidão,2021-05-17,486,2
Surubim,2021-05-17,2828,62
Tabira,2021-05-17,2225,34
Tacaimbó,2021-05-17,432,9
Tacaratu,2021-05-17,730,22
Tamandaré,2021-05-17,521,26
Taquaritinga do Norte,2021-05-17,553,19
Terezinha,2021-05-17,327,6
Terra Nova,2021-05-17,782,9
Timbaúba,2021-05-17,2861,92
Toritama,2021-05-17,1270,31
Tracunhaém,2021-05-17,156,20
Trindade,2021-05-17,1561,46
Triunfo,2021-05-17,772,17
Tupanatinga,2021-05-17,756,8
Tuparetama,2021-05-17,354,20
Venturosa,2021-05-17,936,23
Verdejante,2021-05-17,363,7
Vertente do Lério,2021-05-17,298,2
Vertentes,2021-05-17,676,10
Vicência,2021-05-17,638,29
Vitória de Santo Antão,2021-05-17,4886,242
Xexéu,2021-05-17,413,23
,2021-05-17,443064,14980
Acauã,2021-05-17,179,1
Agricolândia,2021-05-17,399,4
Água Branca,2021-05-17,1371,60
Alagoinha do Piauí,2021-05-17,289,10
Alegrete do Piauí,2021-05-17,474,5
Alto Longá,2021-05-17,574,13
Altos,2021-05-17,3945,80
Alvorada do Gurguéia,2021-05-17,294,9
Amarante,2021-05-17,1374,31
Angical do Piauí,2021-05-17,612,8
Anísio de Abreu,2021-05-17,284,9
Antônio Almeida,2021-05-17,403,10
Aroazes,2021-05-17,539,12
Aroeiras do Itaim,2021-05-17,101,2
Arraial,2021-05-17,140,2
Assunção do Piauí,2021-05-17,301,6
Avelino Lopes,2021-05-17,330,19
Baixa Grande do Ribeiro,2021-05-17,1996,21
Barra D'Alcântara,2021-05-17,105,3
Barras,2021-05-17,4318,84
Barreiras do Piauí,2021-05-17,65,1
Barro Duro,2021-05-17,660,9
Batalha,2021-05-17,921,30
Bela Vista do Piauí,2021-05-17,234,6
Belém do Piauí,2021-05-17,436,7
Beneditinos,2021-05-17,998,34
Bertolínia,2021-05-17,808,10
Betânia do Piauí,2021-05-17,157,2
Boa Hora,2021-05-17,488,5
Bocaina,2021-05-17,236,3
Bom Jesus,2021-05-17,2951,29
Bom Princípio do Piauí,2021-05-17,118,11
Bonfim do Piauí,2021-05-17,300,6
Boqueirão do Piauí,2021-05-17,526,10
Brasileira,2021-05-17,492,9
Brejo do Piauí,2021-05-17,62,3
Buriti dos Lopes,2021-05-17,1199,26
Buriti dos Montes,2021-05-17,563,7
Cabeceiras do Piauí,2021-05-17,469,10
Cajazeiras do Piauí,2021-05-17,47,1
Cajueiro da Praia,2021-05-17,471,18
Caldeirão Grande do Piauí,2021-05-17,322,2
Campinas do Piauí,2021-05-17,166,1
Campo Alegre do Fidalgo,2021-05-17,105,1
Campo Grande do Piauí,2021-05-17,448,4
Campo Largo do Piauí,2021-05-17,465,6
Campo Maior,2021-05-17,4907,124
Canavieira,2021-05-17,143,6
Canto do Buriti,2021-05-17,877,30
Capitão de Campos,2021-05-17,737,25
Capitão Gervásio Oliveira,2021-05-17,62,7
Caracol,2021-05-17,306,11
Caraúbas do Piauí,2021-05-17,186,9
Caridade do Piauí,2021-05-17,539,5
Castelo do Piauí,2021-05-17,1023,23
Caxingó,2021-05-17,140,1
Cocal,2021-05-17,1077,29
Cocal de Telha,2021-05-17,377,10
Cocal dos Alves,2021-05-17,258,6
Coivaras,2021-05-17,239,5
Colônia do Gurguéia,2021-05-17,477,9
Colônia do Piauí,2021-05-17,315,4
Conceição do Canindé,2021-05-17,313,7
Coronel José Dias,2021-05-17,97,4
Corrente,2021-05-17,1422,21
Cristalândia do Piauí,2021-05-17,46,2
Cristino Castro,2021-05-17,510,10
Curimatá,2021-05-17,650,13
Currais,2021-05-17,259,2
Curralinhos,2021-05-17,297,1
Curral Novo do Piauí,2021-05-17,260,2
Demerval Lobão,2021-05-17,2881,23
Dirceu Arcoverde,2021-05-17,203,7
Dom Expedito Lopes,2021-05-17,269,11
Domingos Mourão,2021-05-17,196,3
Dom Inocêncio,2021-05-17,189,4
Elesbão Veloso,2021-05-17,656,23
Eliseu Martins,2021-05-17,278,13
Esperantina,2021-05-17,2464,76
Fartura do Piauí,2021-05-17,179,3
Flores do Piauí,2021-05-17,145,3
Floresta do Piauí,2021-05-17,98,4
Floriano,2021-05-17,7154,124
Francinópolis,2021-05-17,64,1
Francisco Ayres,2021-05-17,189,5
Francisco Macedo,2021-05-17,406,4
Francisco Santos,2021-05-17,317,3
Fronteiras,2021-05-17,591,8
Geminiano,2021-05-17,266,2
Gilbués,2021-05-17,420,4
Guadalupe,2021-05-17,1116,17
Guaribas,2021-05-17,102,2
Hugo Napoleão,2021-05-17,465,8
Ilha Grande,2021-05-17,886,16
Inhuma,2021-05-17,863,14
Ipiranga do Piauí,2021-05-17,525,9
Isaías Coelho,2021-05-17,578,4
Itainópolis,2021-05-17,525,8
Itaueira,2021-05-17,131,15
Jacobina do Piauí,2021-05-17,300,3
Jaicós,2021-05-17,1162,27
Jardim do Mulato,2021-05-17,176,3
Jatobá do Piauí,2021-05-17,181,7
Jerumenha,2021-05-17,199,5
João Costa,2021-05-17,152,2
Joaquim Pires,2021-05-17,1280,22
Joca Marques,2021-05-17,516,5
José de Freitas,2021-05-17,4278,61
Juazeiro do Piauí,2021-05-17,262,2
Júlio Borges,2021-05-17,144,11
Jurema,2021-05-17,206,4
Lagoa Alegre,2021-05-17,336,12
Lagoa de São Francisco,2021-05-17,376,4
Lagoa do Barro do Piauí,2021-05-17,867,7
Lagoa do Piauí,2021-05-17,775,4
Lagoa do Sítio,2021-05-17,90,11
Lagoinha do Piauí,2021-05-17,232,7
Landri Sales,2021-05-17,652,9
Luís Correia,2021-05-17,1285,50
Luzilândia,2021-05-17,2309,43
Madeiro,2021-05-17,388,3
Manoel Emídio,2021-05-17,368,11
Marcolândia,2021-05-17,821,21
Marcos Parente,2021-05-17,341,7
Massapê do Piauí,2021-05-17,173,0
Matias Olímpio,2021-05-17,576,9
Miguel Alves,2021-05-17,1906,27
Miguel Leão,2021-05-17,138,1
Milton Brandão,2021-05-17,186,3
Monsenhor Gil,2021-05-17,1308,27
Monsenhor Hipólito,2021-05-17,449,2
Monte Alegre do Piauí,2021-05-17,812,12
Morro Cabeça no Tempo,2021-05-17,103,3
Morro do Chapéu do Piauí,2021-05-17,706,4
Murici dos Portelas,2021-05-17,243,10
Nazaré do Piauí,2021-05-17,316,8
Nazária,2021-05-17,384,11
Nossa Senhora de Nazaré,2021-05-17,360,11
Nossa Senhora dos Remédios,2021-05-17,666,10
Nova Santa Rita,2021-05-17,134,4
Novo Oriente do Piauí,2021-05-17,287,10
Novo Santo Antônio,2021-05-17,216,3
Oeiras,2021-05-17,3887,58
Olho D'Água do Piauí,2021-05-17,197,3
Padre Marcos,2021-05-17,486,5
Paes Landim,2021-05-17,71,1
Pajeú do Piauí,2021-05-17,83,7
Palmeira do Piauí,2021-05-17,224,4
Palmeirais,2021-05-17,302,13
Paquetá,2021-05-17,131,4
Parnaguá,2021-05-17,228,9
Parnaíba,2021-05-17,13913,375
Passagem Franca do Piauí,2021-05-17,238,10
Patos do Piauí,2021-05-17,266,5
Pau D'Arco do Piauí,2021-05-17,313,4
Paulistana,2021-05-17,1075,12
Pavussu,2021-05-17,254,9
Pedro II,2021-05-17,3519,72
Pedro Laurentino,2021-05-17,62,2
Picos,2021-05-17,6664,129
Pimenteiras,2021-05-17,777,23
Pio IX,2021-05-17,821,17
Piracuruca,2021-05-17,2288,67
Piripiri,2021-05-17,9088,174
Porto,2021-05-17,525,13
Porto Alegre do Piauí,2021-05-17,180,3
Prata do Piauí,2021-05-17,144,4
Queimada Nova,2021-05-17,591,4
Redenção do Gurguéia,2021-05-17,276,17
Regeneração,2021-05-17,991,18
Riacho Frio,2021-05-17,108,3
Ribeira do Piauí,2021-05-17,32,4
Ribeiro Gonçalves,2021-05-17,641,8
Rio Grande do Piauí,2021-05-17,401,7
Santa Cruz do Piauí,2021-05-17,778,14
Santa Cruz dos Milagres,2021-05-17,228,2
Santa Filomena,2021-05-17,64,3
Santa Luz,2021-05-17,186,5
Santana do Piauí,2021-05-17,141,3
Santa Rosa do Piauí,2021-05-17,129,3
Santo Antônio de Lisboa,2021-05-17,44,4
Santo Antônio dos Milagres,2021-05-17,159,2
Santo Inácio do Piauí,2021-05-17,252,6
São Braz do Piauí,2021-05-17,59,8
São Félix do Piauí,2021-05-17,189,3
São Francisco de Assis do Piauí,2021-05-17,51,2
São Francisco do Piauí,2021-05-17,122,6
São Gonçalo do Gurguéia,2021-05-17,153,3
São Gonçalo do Piauí,2021-05-17,357,4
São João da Canabrava,2021-05-17,320,5
São João da Fronteira,2021-05-17,217,4
São João da Serra,2021-05-17,297,10
São João da Varjota,2021-05-17,191,2
São João do Arraial,2021-05-17,533,6
São João do Piauí,2021-05-17,1256,27
São José do Divino,2021-05-17,137,11
São José do Peixe,2021-05-17,70,1
São José do Piauí,2021-05-17,151,8
São Julião,2021-05-17,256,7
São Lourenço do Piauí,2021-05-17,60,3
São Luis do Piauí,2021-05-17,102,0
São Miguel da Baixa Grande,2021-05-17,167,1
São Miguel do Fidalgo,2021-05-17,117,2
São Miguel do Tapuio,2021-05-17,542,12
São Pedro do Piauí,2021-05-17,1091,18
São Raimundo Nonato,2021-05-17,3099,45
Sebastião Barros,2021-05-17,22,3
Sebastião Leal,2021-05-17,359,4
Sigefredo Pacheco,2021-05-17,401,11
Simões,2021-05-17,721,11
Simplício Mendes,2021-05-17,1202,35
Socorro do Piauí,2021-05-17,115,6
Sussuapara,2021-05-17,378,5
Tamboril do Piauí,2021-05-17,33,5
Tanque do Piauí,2021-05-17,164,1
Teresina,2021-05-17,91057,2072
União,2021-05-17,1951,49
Uruçuí,2021-05-17,3395,50
Valença do Piauí,2021-05-17,1670,58
Várzea Branca,2021-05-17,168,10
Várzea Grande,2021-05-17,353,0
Vera Mendes,2021-05-17,199,2
Vila Nova do Piauí,2021-05-17,181,1
Wall Ferraz,2021-05-17,329,3
,2021-05-17,259059,5556
Abatiá,2021-05-17,737,10
Adrianópolis,2021-05-17,1108,22
Agudos do Sul,2021-05-17,486,19
Almirante Tamandaré,2021-05-17,8181,310
Altamira do Paraná,2021-05-17,160,4
Altônia,2021-05-17,892,17
